Price,Close,High,Low,Open,Volume
Ticker,^NSEBANK,^NSEBANK,^NSEBANK,^NSEBANK,^NSEBANK
Datetime,,,,,
2025-03-28 04:45:00+00:00,51512.19921875,51772.0,51509.94921875,51550.1015625,0
2025-03-28 05:45:00+00:00,51582.0,51606.3984375,51445.6484375,51513.05078125,0
2025-03-28 06:45:00+00:00,51415.1015625,51589.6484375,51335.3515625,51587.44921875,0
2025-03-28 07:45:00+00:00,51552.44921875,51559.6015625,51391.44921875,51415.80078125,0
2025-03-28 08:45:00+00:00,51594.6015625,51835.8515625,51527.44921875,51552.44921875,0
2025-03-28 09:45:00+00:00,51552.6484375,51595.69921875,51518.05078125,51594.19921875,0
2025-04-01 03:45:00+00:00,51393.69921875,51683.69921875,51178.1484375,51178.1484375,0
2025-04-01 04:45:00+00:00,50910.75,51489.19921875,50827.6484375,51392.30078125,0
2025-04-01 05:45:00+00:00,50856.25,50979.8515625,50743.6015625,50909.69921875,0
2025-04-01 06:45:00+00:00,50843.69921875,50963.0,50766.1484375,50859.5,0
2025-04-01 07:45:00+00:00,50807.94921875,50867.3984375,50756.1484375,50844.55078125,0
2025-04-01 08:45:00+00:00,50838.25,50890.6015625,50757.1484375,50806.69921875,0
2025-04-01 09:45:00+00:00,50851.0,50874.30078125,50813.3515625,50836.6484375,0
2025-04-02 03:45:00+00:00,51104.1015625,51240.80078125,50909.5,50955.94921875,0
2025-04-02 04:45:00+00:00,51227.3515625,51276.1015625,51070.05078125,51101.3984375,0
2025-04-02 05:45:00+00:00,51246.3984375,51267.75,51114.8984375,51226.94921875,0
2025-04-02 06:45:00+00:00,51233.1015625,51279.19921875,51110.94921875,51246.1484375,0
2025-04-02 07:45:00+00:00,51218.3515625,51286.8984375,51189.55078125,51238.0,0
2025-04-02 08:45:00+00:00,51362.1015625,51379.30078125,51203.69921875,51223.5,0
2025-04-02 09:45:00+00:00,51372.75,51404.19921875,51342.05078125,51362.30078125,0
2025-04-03 03:45:00+00:00,51400.0,51437.69921875,50910.0,50910.0,0
2025-04-03 04:45:00+00:00,51492.8515625,51527.1484375,51345.6015625,51399.69921875,0
2025-04-03 05:45:00+00:00,51477.0,51518.3984375,51441.8984375,51495.94921875,0
2025-04-03 06:45:00+00:00,51466.19921875,51491.75,51401.80078125,51484.94921875,0
2025-04-03 07:45:00+00:00,51559.80078125,51659.6484375,51434.1484375,51470.0,0
2025-04-03 08:45:00+00:00,51613.55078125,51632.55078125,51527.44921875,51556.30078125,0
2025-04-03 09:45:00+00:00,51581.55078125,51619.80078125,51571.8515625,51612.8984375,0
2025-04-04 03:45:00+00:00,51522.8515625,51891.05078125,51475.25,51711.44921875,0
2025-04-04 04:45:00+00:00,51686.69921875,51734.19921875,51511.25,51523.1484375,0
2025-04-04 05:45:00+00:00,51661.0,51763.3515625,51600.8515625,51686.6484375,0
2025-04-04 06:45:00+00:00,51617.8515625,51706.1484375,51602.25,51659.8984375,0
2025-04-04 07:45:00+00:00,51617.5,51676.05078125,51468.19921875,51616.75,0
2025-04-04 08:45:00+00:00,51557.8984375,51637.6484375,51360.8984375,51610.25,0
2025-04-04 09:45:00+00:00,51515.25,51558.25,51488.6015625,51548.44921875,0
2025-04-07 03:45:00+00:00,49668.3984375,50417.6484375,49285.1484375,49285.1484375,0
2025-04-07 04:45:00+00:00,49672.05078125,50013.3515625,49582.55078125,49660.6484375,0
2025-04-07 05:45:00+00:00,49289.0,49783.0,49278.6484375,49671.55078125,0
2025-04-07 06:45:00+00:00,49333.44921875,49471.44921875,49158.05078125,49292.8984375,0
2025-04-07 07:45:00+00:00,49581.05078125,49698.05078125,49215.94921875,49336.44921875,0
2025-04-07 08:45:00+00:00,49907.44921875,49958.19921875,49503.05078125,49584.3515625,0
2025-04-07 09:45:00+00:00,49985.94921875,50041.6015625,49843.19921875,49909.8984375,0
2025-04-08 03:45:00+00:00,50290.3515625,50790.8515625,50264.1015625,50417.3515625,0
2025-04-08 04:45:00+00:00,50383.5,50486.3984375,50031.3515625,50291.6015625,0
2025-04-08 05:45:00+00:00,50548.75,50548.75,50103.0,50383.6484375,0
2025-04-08 06:45:00+00:00,50720.6484375,50763.6484375,50447.1484375,50550.6484375,0
2025-04-08 07:45:00+00:00,50555.1015625,50771.5,50321.8984375,50722.1015625,0
2025-04-08 08:45:00+00:00,50494.19921875,50672.6484375,50419.5,50562.55078125,0
2025-04-08 09:45:00+00:00,50575.1015625,50607.6484375,50477.0,50493.69921875,0
2025-04-09 03:45:00+00:00,50168.80078125,50481.19921875,50145.5,50474.8984375,0
2025-04-09 04:45:00+00:00,49953.0,50355.19921875,49910.8515625,50169.6015625,0
2025-04-09 05:45:00+00:00,50129.30078125,50210.8515625,49935.30078125,49950.69921875,0
2025-04-09 06:45:00+00:00,50280.8515625,50295.3515625,50103.25,50134.5,0
