Price,Close,High,Low,Open,Volume,RSI,MACD,SMA_50
2025-04-16 03:45:00+00:00,23355.55078125,23372.5,23277.900390625,23344.099609375,0.0,72.10967717531933,200.5628485500456,22772.3690234375
2025-04-16 04:45:00+00:00,23319.30078125,23358.94921875,23274.0,23355.80078125,0.0,69.2762956204576,197.50203994697222,22773.203046875
2025-04-16 05:45:00+00:00,23339.94921875,23349.599609375,23316.0,23318.849609375,0.0,69.99940703276101,194.5004038340594,22774.423046875
2025-04-16 06:45:00+00:00,23356.599609375,23362.05078125,23332.75,23341.19921875,0.0,70.60029909461927,191.26040209933853,22776.0850390625
2025-04-16 07:45:00+00:00,23428.599609375,23430.25,23286.0,23357.30078125,0.0,73.10856386033637,192.28592322342593,22779.478046875
2025-04-16 08:45:00+00:00,23423.5,23439.150390625,23395.69921875,23430.5,0.0,72.6358800087295,190.49129517137408,22782.84203125
2025-04-16 09:45:00+00:00,23434.349609375,23452.05078125,23420.849609375,23424.55078125,0.0,73.03532735477026,187.7799024861888,22786.4680078125
2025-04-17 03:45:00+00:00,23353.400390625,23434.55078125,23299.150390625,23387.0,0.0,65.36827670141648,177.05816253356534,22788.7040234375
2025-04-17 04:45:00+00:00,23440.099609375,23444.849609375,23342.30078125,23352.75,0.0,69.1086845558522,173.55635908027762,22798.66703125
2025-04-17 05:45:00+00:00,23634.44921875,23646.75,23439.349609375,23440.94921875,0.0,75.4973609605795,184.33860317293875,22811.095
2025-04-17 06:45:00+00:00,23788.650390625,23788.650390625,23623.0,23634.25,0.0,79.17700904048625,202.9864536723362,22827.5619921875
2025-04-17 07:45:00+00:00,23831.150390625,23871.25,23761.69921875,23787.849609375,0.0,80.06556207930105,218.6736704035211,22845.423984375
2025-04-17 08:45:00+00:00,23847.0,23871.30078125,23783.80078125,23828.69921875,0.0,80.40143792369774,229.73657348603228,22864.1719921875
2025-04-17 09:45:00+00:00,23837.75,23862.19921875,23831.349609375,23847.19921875,0.0,79.55893466638453,235.04811779870215,22882.7069921875
2025-04-21 03:45:00+00:00,24033.44921875,24061.19921875,23903.900390625,23922.150390625,0.0,83.49860934574535,252.14230680094988,22905.1349609375
2025-04-21 04:45:00+00:00,24110.0,24110.75,24009.30078125,24032.0,0.0,84.73775002924134,268.7683883491409,22948.971953125
2025-04-21 05:45:00+00:00,24148.349609375,24150.150390625,24099.05078125,24110.900390625,0.0,85.33199711089618,281.7908610980194,22992.2129296875
2025-04-21 06:45:00+00:00,24173.75,24188.5,24141.30078125,24149.099609375,0.0,85.72835425149253,290.8086032605497,23037.8689453125
2025-04-21 07:45:00+00:00,24143.44921875,24175.55078125,24106.5,24172.150390625,0.0,82.85216361612007,292.1425713706776,23083.544921875
2025-04-21 08:45:00+00:00,24114.400390625,24156.94921875,24109.94921875,24143.349609375,0.0,80.07840866936904,287.54115757381805,23125.8789453125
